measurement,Source Link,XPath,Load Time (ms),Timestamp
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],178,2024-08-12 16:53:04
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],201,2024-08-08 13:44:36
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],180,2024-08-10 03:43:56
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],479,2024-08-08 17:00:20
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],174,2024-08-08 09:14:16
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],189,2024-08-11 01:17:13
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],187,2024-08-07 21:21:50
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],173,2024-08-08 03:44:57
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],195,2024-08-06 03:00:40
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],189,2024-08-04 17:32:21
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],194,2024-08-11 14:08:56
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],183,2024-08-13 12:26:32
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],203,2024-08-04 10:56:38
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],176,2024-08-06 00:48:23
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],186,2024-08-11 18:11:00
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],187,2024-08-10 13:21:34
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],182,2024-08-10 17:20:03
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],326,2024-08-10 07:35:16
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],181,2024-08-12 12:21:40
load_times,https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js,/html[1]/head[1]/script[6],190,2024-08-04 11:55:21
